id,title,genres,averageRating,numVotes,releaseYear
tt0111161,"The Shawshank Redemption",Drama,9.3,2954275,1994
tt0068646,"The Godfather","Crime, Drama",9.2,2059556,1972
tt0252487,"The Chaos Class",Comedy,9.2,43613,1975
tt0259534,"Ramayana: The Legend of Prince Rama","Action, Adventure, Animation",9.2,15449,1993
tt16747572,"The Silence of Swastika","Documentary, History",9.1,10569,2021
tt0468569,"The Dark Knight","Action, Crime, Drama",9,2935734,2008
tt0167260,"The Lord of the Rings: The Return of the King","Action, Adventure, Drama",9,2022578,2003
tt0108052,"Schindler's List","Biography, Drama, History",9,1481971,1993
tt0071562,"The Godfather Part II","Crime, Drama",9,1391631,1974
tt0050083,"12 Angry Men","Crime, Drama",9,889458,1957
tt0110912,"Pulp Fiction","Crime, Drama",8.9,2268830,1994
tt0120737,"The Lord of the Rings: The Fellowship of the Ring","Action, Adventure, Drama",8.9,2052301,2001
tt5354160,"Mirror Game","Crime, Mystery, Thriller",8.9,30072,2016
tt0253828,"Tosun Pasha","Comedy, History",8.9,25019,1976
tt0252488,"The Chaos Class Failed the Class",Comedy,8.9,25005,1975
tt5275892,"O.J.: Made in America","Biography, Crime, Documentary",8.9,22633,2016
tt0075143,"The Message","Action, Adventure, Biography",8.9,10975,1976
tt1375666,Inception,"Action, Adventure, Sci-Fi",8.8,2605397,2010
tt0137523,"Fight Club",Drama,8.8,2386403,1999
tt0109830,"Forrest Gump","Drama, Romance",8.8,2311754,1994
tt0167261,"The Lord of the Rings: The Two Towers","Action, Adventure, Drama",8.8,1823513,2002
tt0060196,"The Good, the Bad and the Ugly","Adventure, Drama, Western",8.8,827863,1966
tt23849204,"12th Fail","Biography, Drama",8.8,131930,2023
tt16492678,"Demon Slayer: Kimetsu no Yaiba - Tsuzumi Mansion Arc","Action, Animation, Fantasy",8.8,25828,2021
tt0253779,"The Foster Brothers",Comedy,8.8,21356,1976
tt0084302,"The Marathon Family","Comedy, Drama",8.8,17250,1982
tt14888874,"Demon Slayer: Kimetsu no Yaiba - Mt. Natagumo Arc","Action, Animation, Fantasy",8.8,16815,2020
tt10534500,#Home,"Drama, Family",8.8,15979,2021
tt0086935,"Balkan Spy","Comedy, Drama",8.8,12644,1984
tt2077886,"The Phantom of the Opera at the Royal Albert Hall","Drama, Musical, Romance",8.8,10146,2011
tt0816692,Interstellar,"Adventure, Drama, Sci-Fi",8.7,2179321,2014
tt0133093,"The Matrix","Action, Sci-Fi",8.7,2097695,1999
tt0080684,"Star Wars: Episode V - The Empire Strikes Back","Action, Adventure, Fantasy",8.7,1406428,1980
tt0099685,Goodfellas,"Biography, Crime, Drama",8.7,1285879,1990
tt0073486,"One Flew Over the Cuckoo's Nest",Drama,8.7,1090410,1975
tt15097216,"Jai Bhim","Crime, Drama, Mystery",8.7,220958,2021
tt10189514,"Soorarai Pottru",Drama,8.7,125810,2020
tt9263550,"Rocketry: The Nambi Effect","Biography, Drama",8.7,59749,2022
tt7466810,"777 Charlie","Adventure, Comedy, Drama",8.7,41656,2022
tt0093603,Nayakan,"Crime, Drama",8.7,25445,1987
tt0088178,"Stop Making Sense","Documentary, Music",8.7,21614,1984
tt0252490,"The Chaos Class Is Waking Up",Comedy,8.7,21183,1976
tt0253614,"Saban, Son of Saban",Comedy,8.7,19012,1977
tt8176054,"Pariyerum Perumal",Drama,8.7,19012,2018
